<<<<<<< HEAD
﻿ID,Adhigaram_ID,Paal,Iyal,Adhigaram,Kural,Transliteration,Vilakam,en_translation,Chapter,,Athigaram,
1,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.,Akara Mudhala  Ezhuththellaam  Aadhi  Pakavan  Mudhatre  Ulaku,"அகரம் எழுத்துக்களுக்கு முதன்மை; ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை","A, as its first of letters, every speech maintains;  The ""Primal Deity"" is first through all the world's domains",அறத்துப்பால்,,கடவுள் வாழ்த்து,
2,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,Katradhanaal Aaya  Payanenkol  Vaalarivan  Natraal  Thozhaaar  Enin,தன்னைவிட அறிவில் மூத்த பெருந்தகையாளரின் முன்னே வணங்கி நிற்கும் பண்பு இல்லாவிடில் என்னதான் ஒருவர் கற்றிருந்தாலும் அதனால் என்ன பயன்? ஒன்றுமில்லை,"No fruit have men of all their studied lore,  Save they the 'Purely Wise One's' feet adore",அறத்துப்பால்,,கடவுள் வாழ்த்து,
3,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.,Malarmisai Ekinaan  Maanati  Serndhaar  Nilamisai  Neetuvaazh  Vaar,"மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும்","His feet, 'Who o'er the full-blown flower hath past,' who gain  In bliss long time shall dwell above this earthly plain",அறத்துப்பால்,,கடவுள் வாழ்த்து,
4,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.,Ventudhal Ventaamai  Ilaanati  Serndhaarkku  Yaantum  Itumpai  Ila,விருப்பு வெறுப்பற்றுத் தன்னலமின்றித் திகழ்கின்றவரைப் பின்பற்றி நடப்பவர்களுக்கு எப்போதுமே துன்பம் ஏற்படுவதில்லை,"His foot, 'Whom want affects not, irks not grief,' who gain  Shall not, through every time, of any woes complain",அறத்துப்பால்,,கடவுள் வாழ்த்து,
5,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,Irulser Iruvinaiyum  Seraa  Iraivan  Porulser  Pukazhpurindhaar  Maattu,"இறைவன் என்பதற்குரிய பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள்","The men, who on the 'King's' true praised delight to dwell,  Affects not them the fruit of deeds done ill or well",அறத்துப்பால்,,கடவுள் வாழ்த்து,
6,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,Porivaayil Aindhaviththaan  Poidheer  Ozhukka  Nerinindraar  Neetuvaazh  Vaar,"மெய், வாய், கண், மூக்கு, செவி எனும் ஐம்பொறிகளையும் கட்டுப்படுத்திய தூயவனின் உண்மையான ஒழுக்கமுடைய நெறியைப் பின்பற்றி நிற்பவர்களின் புகழ்வாழ்வு நிலையானதாக அமையும்","Long live they blest, who 've stood in path from falsehood freed;  His, 'Who quenched lusts that from the sense-gates five proceed'",அறத்துப்பால்,,கடவுள் வாழ்த்து,
7,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது.,Thanakkuvamai Illaadhaan  Thaalserndhaark  Kallaal  Manakkavalai  Maatral  Aridhu,"ஒப்பாரும் மிக்காருமில்லாதவனுடைய அடியொற்றி நடப்பவர்களைத் தவிர, மற்றவர்களின் மனக்கவலை தீர வழியேதுமில்லை","Unless His foot, 'to Whom none can compare,' men gain,  'Tis hard for mind to find relief from anxious pain",அறத்துப்பால்,,கடவுள் வாழ்த்து,
8,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,Aravaazhi Andhanan  Thaalserndhaark  Kallaal  Piravaazhi  Neendhal  Aridhu,"அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால், அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி நடப்பவர்க்கேயன்றி, மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக் கடப்பது என்பது எளிதான காரியமல்ல","Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain,  'Tis hard the further bank of being's changeful sea to attain",அறத்துப்பால்,,கடவுள் வாழ்த்து,
9,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,இயல்கோளில் பொறியில் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,Kolil Poriyin  Kunamilave  Enkunaththaan  Thaalai  Vanangaath  Thalai,"உடல், கண், காது, மூக்கு, வாய் எனும் ஐம்பொறிகள் இருந்தும், அவைகள் இயங்காவிட்டால் என்ன நிலையோ அதே நிலைதான் ஈடற்ற ஆற்றலும் பண்பும் கொண்டவனை வணங்கி நடக்காதவனின் நிலையும் ஆகும்","Before His foot, 'the Eight-fold Excellence,' with unbent head,  Who stands, like palsied sense, is to all living functions dead",அறத்துப்பால்,,கடவுள் வாழ்த்து,
10,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்.,Piravip Perungatal  Neendhuvar  Neendhaar  Iraivan  Atiseraa  Thaar,"வாழ்க்கை எனும் பெருங்கடலை நீந்திக் கடக்க முனைவோர், தலையானவனாக இருப்பவனின் அடி தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும்","They swim the sea of births, the 'Monarch's' foot who gain;  None others reach the shore of being's mighty main",அறத்துப்பால்,,கடவுள் வாழ்த்து,
